university,type_1,type_2,region,Latitude,Longitude,"publishing_program (1=yes, 0=no)","press (1=yes, 0=no)",student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,2012_revenue,2013_revenue,2014_revenue,2015_revenue,2016_revenue,2017_revenue,2018_revenue,2019_revenue,2020_revenue,2021_revenue,2022_revenue
University of New Mexico-Main Campus,R1,HSI,West,35.0845,-106.6198,1,1,173316,Hispanic/Latino,White,American Indian or Alaska Native,238874,Hispanic/Latino,White,American Indian or Alaska Native,1713622700,1827661508,2332330286,2270041236,2416940338,2515776468,2712410020,3134173270,3254197628,2963938696,1409949788
Purdue University,R1,,Midwest,40.4237,-86.9212,1,1,108162,White,Nonresident Alien,Asian,97398,White,Asian,Nonresident Alien,19911302000,22790329000,22456424000,21806852000,25404496000,27504288000,28093878000,29055738000,40675316000,38076860000,18275252000
University of Kansas,R1,,Midwest,38.9543,-95.2558,1,0,210556,White,Hispanic/Latino,Asian,214584,White,Nonresident Alien,Hispanic/Latino,1323258410,1557054226,1453312794,1428527422,1460652900,1530148790,1627136096,1671579710,1781261076,1998263994,1076706303
Jackson State University,HBCU,R2,South,32.2968,-90.2078,1,0,54834,Black or African American,White,Nonresident Alien,73580,Black or African American,White,Two or More Races,203547004,185536080,166449110,156669898,173005230,153779786,169388264,180290914,200874494,258189696,134831462
Middlebury College,Liberal Arts,,Northeast,44.007,-73.1765,1,0,26644,White,Nonresident Alien,Hispanic/Latino,23848,White,Nonresident Alien,Hispanic/Latino,2105500000,2315434000,2346814000,2104722000,2204644000,2365354000,2526506000,2431146000,3263204000,3174226000,1592242000
"University of Maryland, College Park",R1,,Mid-Atlantic,38.9869,-76.9426,1,0,332104,White,Asian,Black or African American,297586,White,Asian,Black or African American,2226769876,2173177792,2293463624,2432974566,2427989742,2586166744,2753229710,2900449528,2805455124,3224070496,1710761942
University of Mississippi,R1,,South,34.3659,-89.5383,1,0,183502,White,Black or African American,Hispanic/Latino,163714,White,Black or African American,Hispanic/Latino,577597374,1607780118,1973061988,1952146366,1993641362,2103568834,2264109840,2529100918,2354213014,2118254432,1123727276
Northwestern University,R1,Private,Midwest,42.0559,-87.6753,1,1,141902,White,Asian,Nonresident Alien,135282,White,Asian,Nonresident Alien,15835244000,20024322000,20995528000,20625564000,21435574000,22574174000,22158848000,23152464000,30286410000,28767100000,14030298000
Georgia Institute of Technology,R1,,South,33.7756,-84.3963,1,0,50888,White,Nonresident Alien,Hispanic/Latino,37668,White,Nonresident Alien,Race/Ethnicity Unknown,115859158,129121712,140079172,130744084,148316914,166496126,187253438,177536454,258424166,241179116,100805797
Sitting Bull College,TCU,,Midwest,46.0896,-101.3555,0,0,2300,American Indian or Alaska Native,White,Hispanic/Latino,2652,American Indian or Alaska Native,White,Hispanic/Latino,7288060,8450936,7985762,8427002,9354768,8643048,10321556,12464246,33220346,25415784,9515732
Colorado State University,R1,HSI,West,40.5734,-105.0865,1,0,46738,White,Hispanic/Latino,Two or More Races,54612,White,Hispanic/Latino,Race/Ethnicity Unknown,110023566,111805780,109764046,105005782,140019260,111099676,119561778,170723922,124693758,132335552,64804585
Brown University,R1,,Northeast,41.8268,-71.4025,1,0,85488,White,Asian,Nonresident Alien,69870,White,Nonresident Alien,Asian,6152326000,6971578000,7418576000,7061210000,7819152000,8042228000,8737432000,9533794000,14451540000,13564068000,6831006000
College of Menominee Nation,TCU,,Midwest,44.8772,-88.6107,0,0,2498,American Indian or Alaska Native,White,Hispanic/Latino,6442,American Indian or Alaska Native,White,Black or African American,8244010,8156592,5987272,6160330,7405678,7663462,8101452,8464890,10722590,21917852,10476684
University of Oklahoma-Norman Campus,R1,,South,35.2059,-97.4458,1,1,229798,White,Hispanic/Latino,Two or More Races,226774,White,Hispanic/Latino,Black or African American,1254522000,1364376000,1181964000,1198028000,1221146000,1207276000,1265692000,1316926000,1385920000,1646564000,823989000
Rollins College,Liberal Arts,,South,28.592,-81.348,1,0,26286,White,Hispanic/Latino,Nonresident Alien,27884,White,Hispanic/Latino,Black or African American,735858000,744284000,728538000,678372000,710508000,758262000,740754000,721458000,905672000,919778000,431378000
Rice University,R1,Private,South,29.7174,-95.4018,1,0,59194,White,Asian,Nonresident Alien,47010,White,Asian,Nonresident Alien,10529262000,11910408000,12065226000,11554882000,12700556000,13482742000,14157624000,13545672000,17458386000,16847406000,8232265000
University of North Texas,R2,HSI,South,33.21,-97.148,1,1,363958,White,Hispanic/Latino,Black or African American,326412,White,Hispanic/Latino,Black or African American,1182344548,1147547916,1256932206,1384232120,1556804976,1474083688,1376087420,1409213434,1590180970,1829703840,991718504
University of Virginia-Main Campus,R1,,Mid-Atlantic,38.0336,-78.508,1,1,199584,White,Asian,Nonresident Alien,179154,White,Asian,Nonresident Alien,2787187530,3082647534,3208993732,2443041416,2052538662,2353667802,2939491484,3262726680,3554157138,3602378834,1865803254
University of Utah,R1,,West,40.7649,-111.8421,1,1,282174,White,Hispanic/Latino,Asian,268132,White,Hispanic/Latino,Nonresident Alien,3785970000,3692082000,4011296000,4008730000,4174226000,4809822000,5320952000,6053734000,7016828000,6472876000,3190933000
The University of Tennessee-Knoxville,R1,,South,35.954,-83.9299,1,1,283226,White,Hispanic/Latino,Black or African American,235546,White,Black or African American,Nonresident Alien,1572826422,1635379766,1505173708,1568243118,1557723452,1211912014,1181688156,1188715748,1306373402,1452321136,834190017
Florida International University,R1,HSI,South,25.757,-80.3773,1,1,462072,Hispanic/Latino,Black or African American,White,395936,Hispanic/Latino,Black or African American,White,1233345104,1283030002,1393627832,1354719586,1405791732,1466211212,1589899478,1627957774,1898943412,1850356712,985067857
Loyola Marymount University,Private,,West,33.9701,-118.4175,1,1,80594,White,Hispanic/Latino,Nonresident Alien,71430,White,Hispanic/Latino,Asian,913164000,1010148000,976680000,919274000,1011774000,1093074000,1099338000,1098344000,1406104000,1421286000,718336000
Fort Lewis College,R2,HSI,West,37.2753,-107.8794,1,0,30970,White,American Indian or Alaska Native,Hispanic/Latino,36464,White,American Indian or Alaska Native,Hispanic/Latino,107141826,110233978,107304370,111525026,97106708,95941868,100523330,113887598,127843406,146359820,68088255
"University of California, Davis ",R1,HSI,West,38.5382,-121.7617,1,0,335030,Asian,Hispanic/Latino,White,272684,Asian,White,Hispanic/Latino,868634000,882040000,920904000,1053862000,1142116000,1349602000,1390068000,1435208000,1446138000,1535590000,775014000
Leech Lake Tribal College,TCU,,Midwest,47.5097,-94.892,0,0,1534,American Indian or Alaska Native,Two or More Races,White,3116,American Indian or Alaska Native,White,Two or More Races,9137626,11874090,8637912,9185850,10043364,10270108,11087702,14833906,18273394,28967122,15772803
Rutgers University-New Brunswick,R1,,Mid-Atlantic,40.5006,-74.4476,1,1,404036,White,Asian,Hispanic/Latino,337486,White,Asian,Hispanic/Latino,2808442000,3353482000,3387302000,3359062000,3177412000,3167836000,3284300000,3589674000,4099040000,4167699000,2157746000
Drexel University,R1,Private,Mid-Atlantic,39.9566,-75.1899,1,0,167274,White,Asian,Nonresident Alien,189912,White,Asian,Nonresident Alien,1340622000,1466214000,1490358000,1442982000,1568066000,1665628000,1737846000,1621366000,2051754000,1961758000,990136000
University of Connecticut,R1,,Northeast,41.806,-72.253,1,0,212912,White,Hispanic/Latino,Asian,199440,White,Race/Ethnicity Unknown,Asian,1929108310,2357126450,3346996244,2829281080,2872454524,3267755058,3188141352,2801402890,2914244934,3502848436,1519385696
University of Missouri-Columbia,R1,,Midwest,38.9404,-92.3277,1,0,255564,White,Black or African American,Hispanic/Latino,286090,White,Black or African American,Nonresident Alien,2426299880,2519845598,2757876954,2982011758,3159729924,3352329280,3252428228,3123404916,4081564274,3851792506,2333802890
Grinnell College,Liberal Arts,,Midwest,41.7509,-92.7191,1,0,16516,White,Nonresident Alien,Hispanic/Latino,15600,White,Nonresident Alien,Hispanic/Latino,3208118000,3740964000,3659962000,3384524000,4081830000,4231512000,4299990000,4329262000,6174586000,5254324000,2637527000
University of Denver,R2,Private,West,39.678,-104.9614,1,0,87906,White,Hispanic/Latino,Two or More Races,76522,White,Nonresident Alien,Hispanic/Latino,849014198,978061358,1080071952,1280053582,1499474416,1582375248,1628448640,1586313126,2122465144,2013724210,1027748396
New York University,R1,Private,Northeast,40.7295,-73.9965,1,1,399554,Nonresident Alien,White,Asian,301100,White,Asian,Race/Ethnicity Unknown,6016426000,6933278000,7014824000,7230834000,8215160000,8502500000,8502614000,9221684000,11514888000,10636448000,5883274000
Bowdoin College,Liberal Arts,,Northeast,43.906,-69.9634,1,0,18110,White,Hispanic/Latino,Asian,17374,White,Hispanic/Latino,Asian,2526854000,2866732000,3182322000,3066848000,3457448000,3781194000,3888804000,3888490000,5742648000,5346374000,2598933000
Texas A&M University ,R1,HSI,South,30.6187,-96.3365,1,1,340480,Hispanic/Latino,White,Black or African American,304784,White,Hispanic/Latino,Black or African American,1263170334,1376083234,1349709772,1392795632,1846344956,1706575754,1423248660,1616679194,1729390210,1901738046,861684340
California Polytechnic State University-San Luis Obispo,R2,,West,35.3004,-120.6625,1,0,203736,White,Hispanic/Latino,Asian,173202,White,Hispanic/Latino,Asian,497764446,564994226,639002512,637075818,614059080,741414434,767185938,827819388,923264626,1075982178,624091804
