college_name,UNITID,INSTNM,CONTROL,SECTOR,CITY,STABBR,match_type
University of Michigan-Dearborn,171137.0,University of Michigan-Dearborn,1.0,1.0,Dearborn,MI,exact
Winston-Salem State University,199999.0,Winston-Salem State University,1.0,1.0,Winston-Salem,NC,exact
University of Houston-Clear Lake,225414.0,University of Houston-Clear Lake,1.0,1.0,Houston,TX,exact
Tarleton State University,228529.0,Tarleton State University,1.0,1.0,Stephenville,TX,exact
Trinity University,229267.0,Trinity University,2.0,2.0,San Antonio,TX,exact
Southeastern Louisiana University,160612.0,Southeastern Louisiana University,1.0,1.0,Hammond,LA,exact
The College of New Jersey,187134.0,The College of New Jersey,1.0,1.0,Ewing,NJ,exact
Appalachian State University,197869.0,Appalachian State University,1.0,1.0,Boone,NC,exact
Grand Valley State University,170082.0,Grand Valley State University,1.0,1.0,Allendale,MI,exact
Texas Southern University,229063.0,Texas Southern University,1.0,1.0,Houston,TX,exact
Northern Arizona University,105330.0,Northern Arizona University,1.0,1.0,Flagstaff,AZ,exact
University of Nebraska at Kearney,181215.0,University of Nebraska at Kearney,1.0,1.0,Kearney,NE,exact
Institution_Name,,,,,,,fuzzy
University of Michigan,171146.0,University of Michigan-Flint,1.0,1.0,Flint,MI,fuzzy
"University of California, Berkeley",110635.0,University of California-Berkeley,1.0,1.0,Berkeley,CA,fuzzy
New Mexico State University,188021.0,New Mexico State University-Grants,1.0,4.0,Grants,NM,fuzzy
Florida A&M University,134097.0,Florida State University,1.0,1.0,Tallahassee,FL,fuzzy
University of Texas Rio Grande Valley,227368.0,The University of Texas Rio Grande Valley,1.0,1.0,Edinburg,TX,fuzzy
University of Washington,232681.0,University of Mary Washington,1.0,1.0,Fredericksburg,VA,fuzzy
Institute of American Indian Arts,,,,,,,fuzzy
Texas A&M International University,226152.0,Texas A & M International University,1.0,1.0,Laredo,TX,fuzzy
"University of California, Merced",445188.0,University of California-Merced,1.0,1.0,Merced,CA,fuzzy
University of Illinois at Urbana-Champaign,145637.0,University of Illinois Urbana-Champaign,1.0,1.0,Champaign,IL,fuzzy
North Carolina A&T State University,199102.0,North Carolina A & T State University,1.0,1.0,Greensboro,NC,fuzzy
University of New Mexico,,,,,,,fuzzy
Purdue University,198419.0,Duke University,2.0,2.0,Durham,NC,fuzzy
"University of Maryland, College Park",163286.0,University of Maryland-College Park,1.0,1.0,College Park,MD,fuzzy
Georgia Institute of Technology,133881.0,Florida Institute of Technology,2.0,2.0,Melbourne,FL,fuzzy
Colorado State University,128106.0,Colorado State University Pueblo,1.0,1.0,Pueblo,CO,fuzzy
University of Oklahoma,,,,,,,fuzzy
University of Virginia,,,,,,,fuzzy
University of Tennessee,,,,,,,fuzzy
"University of California, Davis",110644.0,University of California-Davis,1.0,1.0,Davis,CA,fuzzy
University of Missouri,,,,,,,fuzzy
Texas A&M University,228459.0,Texas State University,1.0,1.0,San Marcos,TX,fuzzy
California Polytechnic State University,,,,,,,fuzzy
Columbia University,,,,,,,fuzzy
"California State University, Northridge",110608.0,California State University-Northridge,1.0,1.0,Northridge,CA,fuzzy
Ohio State University,153603.0,Iowa State University,1.0,1.0,Ames,IA,fuzzy
University of Texas at Austin,228778.0,The University of Texas at Austin,1.0,1.0,Austin,TX,fuzzy
University of Alabama,100751.0,The University of Alabama,1.0,1.0,Tuscaloosa,AL,fuzzy
Arizona State University,175272.0,Winona State University,1.0,1.0,Winona,MN,fuzzy
University of Pittsburgh,,,,,,,fuzzy
"University of California, Irvine",110653.0,University of California-Irvine,1.0,1.0,Irvine,CA,fuzzy
University of Montana,180489.0,The University of Montana,1.0,1.0,Missoula,MT,fuzzy
"University of Nevada, Reno",182290.0,University of Nevada-Reno,1.0,1.0,Reno,NV,fuzzy
Washington University in St. Louis,179867.0,Washington University in St Louis,2.0,2.0,Saint Louis,MO,fuzzy
Catholic University of America,131283.0,The Catholic University of America,2.0,2.0,Washington,DC,fuzzy
