college_name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Drake University,342990306.0,366487122.0,383237344.0,406025966.0,415536976.0,434687766.0,444950126.0,433803182.0,549047854.0,471519436.0,253088471.0
Hofstra University,806847278.0,917475114.0,897063690.0,956835626.0,1169666134.0,1277111978.0,1324267262.0,1425037424.0,1850006300.0,1553468148.0,822866082.0
Loyola University Chicago,1005803110.0,1212142606.0,1205283088.0,1226748808.0,1348483592.0,1461910396.0,1600631366.0,1623467806.0,2144493788.0,2009429430.0,1149854251.0
Saint Louis University,2299193080.0,2551146580.0,2452952390.0,2283084134.0,2443635752.0,2541381190.0,2499626322.0,2417127514.0,3059970146.0,2702476312.0,1761469703.0
University of Notre Dame,17018668000.0,20025904000.0,21399938000.0,21279350000.0,23979948000.0,26774694000.0,27998174000.0,29922784000.0,45691544000.0,42267160000.0,21209143000.0
University of Houston,1830870728.0,1901752470.0,2155486054.0,2200149664.0,2347514118.0,2468808720.0,2599632582.0,2879431398.0,3081039242.0,3365446774.0,1894108106.0
Marquette University,962316000.0,1121012000.0,1180016000.0,1165336000.0,1338024000.0,1335660000.0,1466216000.0,1423646000.0,2143996000.0,2075024000.0,1078672000.0
St. John's College,240969050.0,277907626.0,290322846.0,281424358.0,337816436.0,344219696.0,365137120.0,384223396.0,489541672.0,414030526.0,221865040.0
Creighton University,889164000.0,1151002000.0,1239888000.0,1229490000.0,1383708000.0,1497566000.0,1518664000.0,1483746000.0,2021654000.0,1916076000.0,1034371000.0
Goucher College,417640000.0,475248000.0,472202000.0,435856000.0,461302000.0,449638000.0,417458000.0,402838000.0,531052000.0,497210000.0,247423000.0
Agnes Scott College,515879146.0,559913442.0,536589676.0,459164226.0,472444582.0,467964680.0,446148154.0,421861930.0,508620464.0,438614128.0,253269883.0
Furman University,1280331156.0,1406686314.0,1363462264.0,1369560636.0,1467913876.0,1525593994.0,1508484638.0,1469497596.0,1846869446.0,1787291558.0,882873561.0
Whitman College,934100392.0,1045938014.0,1101977410.0,1005294980.0,1125824076.0,1201028224.0,1227069812.0,1259975818.0,1794972786.0,1403090792.0,766138407.0
University of Alaska Fairbanks,216292312.0,241648846.0,293019154.0,258027886.0,304337964.0,352930748.0,308046890.0,306685070.0,327488104.0,323903298.0,156938169.0
University of San Diego,814406000.0,1001584000.0,1030198000.0,1033532000.0,1170668000.0,1276080000.0,1325424000.0,1278660000.0,1667104000.0,1530580000.0,803517000.0
University of Indianapolis,172327774.0,197372286.0,194582414.0,181942528.0,193287062.0,216118678.0,212722560.0,209312290.0,254326448.0,225275590.0,110317561.0
University of North Carolina Wilmington,394808065.0,436316774.0,481940422.0,495130878.0,522174376.0,557398272.0,617273532.0,607098292.0,610599692.0,688191928.0,367572219.0
University of Missouri-Kansas City,496242862.0,546340216.0,568844236.0,566848188.0,579565596.0,629276144.0,655840728.0,655289576.0,839620984.0,964601428.0,554818361.0
University of Hawaii at Hilo,119015376.0,125553450.0,132190898.0,104777932.0,106291576.0,107163028.0,107450032.0,91522648.0,84964688.0,86766478.0,50463632.0
University of North Alabama,201455362.0,204553160.0,187780800.0,193561592.0,206420576.0,226891612.0,255820160.0,250067460.0,263991194.0,266740374.0,151824410.0
New College of Florida,37496014.0,36128572.0,49845416.0,37154042.0,33707038.0,38293610.0,38328718.0,49772762.0,48711024.0,42390402.0,32964972.0
Mississippi State University,521535630.0,548254296.0,630434638.0,697407474.0,728734304.0,821284834.0,935321732.0,1044826886.0,1207128612.0,1249049120.0,607424053.0
University of West Georgia,223458828.0,221799662.0,219868018.0,241338856.0,258057336.0,284291616.0,291670470.0,283542980.0,290000410.0,317491436.0,144274832.0
University of Central Missouri,299170918.0,345160970.0,339463952.0,291541496.0,334451192.0,347996792.0,241102992.0,199585926.0,252406532.0,287850274.0,148076729.0
Bowie State University,162702284.0,173200430.0,183999976.0,192895272.0,216240668.0,245898412.0,265147792.0,255567140.0,257379492.0,277996054.0,168792375.0
Eastern Michigan University,435389046.0,428844922.0,458897822.0,455450346.0,442610316.0,495630338.0,433567602.0,434739430.0,436878322.0,472860322.0,219447771.0
Sam Houston State University,637622864.0,653033484.0,767424384.0,720083700.0,753328888.0,761410978.0,755580912.0,814311742.0,771942896.0,818660334.0,409864170.0
University of Northern Iowa,338414508.0,330038832.0,345439474.0,439736332.0,403824790.0,436543310.0,458700610.0,455737780.0,474677940.0,428105778.0,214875549.0
Florida Gulf Coast University,241565460.0,274242822.0,320872166.0,312996854.0,338866660.0,378851530.0,407010840.0,404395332.0,433031746.0,438322756.0,191781444.0
Portland State University,523389012.0,619820202.0,632224028.0,622004386.0,669363106.0,668780562.0,758709082.0,812252932.0,746567496.0,708631960.0,295937568.0
East Tennessee State University,261020576.0,253584026.0,269226068.0,279396694.0,306780006.0,332913066.0,326135670.0,357548400.0,353939904.0,391641606.0,212614278.0
Indiana State University,241577902.0,267492948.0,268831860.0,256666000.0,325558000.0,283966000.0,369692000.0,292522000.0,278200000.0,218566246.0,81405065.0
Montana Technological University,80806806.0,86651566.0,96716864.0,100587248.0,100452890.0,111784300.0,83334930.0,80687398.0,77808058.0,77478102.0,37798687.0
Western Carolina University,256884268.0,271361430.0,304506692.0,332882036.0,352447190.0,383198976.0,389779996.0,406694214.0,441964600.0,470077096.0,253144076.0
Fayetteville State University,63154298.0,86521396.0,73883080.0,78196368.0,77435172.0,77138528.0,70746382.0,69982088.0,101012374.0,105141798.0,49808063.0
University of Wisconsin-Eau Claire,294279190.0,270843658.0,277965482.0,244707364.0,273674344.0,269066714.0,270486784.0,290292480.0,320879362.0,308883286.0,138109548.0
University of North Georgia,173133926.0,187922158.0,207492518.0,225251244.0,251565828.0,240587894.0,274266886.0,276723934.0,285944472.0,295310140.0,149002832.0
University of Michigan-Dearborn,227318000.0,273750000.0,259546000.0,268268000.0,271990000.0,281990000.0,301864000.0,286108000.0,323194000.0,339550000.0,170906000.0
Winston-Salem State University,97604446.0,88494254.0,87441584.0,83533784.0,79768356.0,94234478.0,100777580.0,98303518.0,123114444.0,162697438.0,98454154.0
University of Houston-Clear Lake,204695016.0,234774066.0,265301216.0,288296812.0,278398272.0,299225060.0,320597442.0,331917818.0,342899996.0,349001064.0,163470598.0
Tarleton State University,212433268.0,240175492.0,242584728.0,266228170.0,248202724.0,274064086.0,292557036.0,340374800.0,394199442.0,435115324.0,208190408.0
Trinity University,1868652938.0,2167965582.0,2292401020.0,2205222040.0,2415533440.0,2575439746.0,2712601638.0,2626448480.0,3523026180.0,3496718164.0,1709713566.0
Southeastern Louisiana University,264861608.0,222745060.0,260735862.0,211149254.0,276216188.0,280842040.0,268825428.0,288118330.0,272900362.0,274616184.0,128748877.0
The College of New Jersey,383984000.0,467422000.0,497310000.0,450586000.0,437216000.0,438144000.0,519266000.0,449480000.0,463930000.0,447396000.0,213732000.0
Appalachian State University,378540296.0,422716146.0,440863040.0,428418324.0,448191314.0,480692526.0,517508468.0,616890904.0,646375898.0,727577366.0,374027193.0
Grand Valley State University,710176328.0,729278638.0,784904252.0,818742388.0,858464122.0,915274376.0,1031114500.0,1065263558.0,968156742.0,1058395758.0,473447018.0
Texas Southern University,274750364.0,244416556.0,266865930.0,320237320.0,486500118.0,528161160.0,462640636.0,405361442.0,412783252.0,446039018.0,364254549.0
Northern Arizona University,771153202.0,809358796.0,949846292.0,910384016.0,952032012.0,962628056.0,904594762.0,970339778.0,996910560.0,1024650328.0,477029890.0
University of Nebraska at Kearney,152697590.0,153628340.0,172388578.0,163338864.0,169388338.0,166285558.0,176825740.0,170454878.0,174484414.0,172185506.0,100948689.0
Institution_Name,,,,,,,,,,,
University of Michigan,251728000.0,258318000.0,270034000.0,274724000.0,272456000.0,264936000.0,266548000.0,261948000.0,334702000.0,338868000.0,157191000.0
"University of California, Berkeley",1279720000.0,1382534000.0,1460314000.0,1562162000.0,1668882000.0,1867818000.0,1937098000.0,2023648000.0,1872604000.0,2007336000.0,1036402000.0
New Mexico State University,10038302.0,1438788.0,1227874.0,1123082.0,1200324.0,1169746.0,1216818.0,964228.0,935776.0,1554958.0,627009.0
Florida A&M University,1758010782.0,1875156242.0,2064707006.0,2079211296.0,2015451136.0,2044262878.0,2035645978.0,2099461812.0,2467537448.0,2773282302.0,1635397498.0
University of Texas Rio Grande Valley,369585698.0,374058224.0,346291640.0,570708812.0,619969116.0,593756248.0,617367966.0,736245824.0,960237604.0,739289186.0,400614806.0
University of Washington,113201576.0,111797712.0,105134090.0,96056094.0,99126052.0,100003090.0,100048428.0,102077170.0,108207098.0,116322722.0,61853779.0
Institute of American Indian Arts,,,,,,,,,,,
Texas A&M International University,96072668.0,87878660.0,107917644.0,109660854.0,129987126.0,158055214.0,142875034.0,132581178.0,159386890.0,200746876.0,82906110.0
"University of California, Merced",105814000.0,102062000.0,124456000.0,125796000.0,138230000.0,151230000.0,169566000.0,169278000.0,179362000.0,165766000.0,81236000.0
University of Illinois at Urbana-Champaign,2602712104.0,2529020590.0,2716046566.0,2616384318.0,2680758110.0,2900453294.0,2961893552.0,3452811920.0,3157250899.0,3798307714.0,1635592998.0
North Carolina A&T State University,205421800.0,218926316.0,258310490.0,285040780.0,309291428.0,335562262.0,351223846.0,386252062.0,440474428.0,568950306.0,313810622.0
University of New Mexico,,,,,,,,,,,
Purdue University,19911302000.0,22790329000.0,22456424000.0,21806852000.0,25404496000.0,27504288000.0,28093878000.0,29055738000.0,40675316000.0,38076860000.0,18275252000.0
"University of Maryland, College Park",2226769876.0,2173177792.0,2293463624.0,2432974566.0,2427989742.0,2586166744.0,2753229710.0,2900449528.0,2805455124.0,3224070496.0,1710761942.0
Georgia Institute of Technology,115859158.0,129121712.0,140079172.0,130744084.0,148316914.0,166496126.0,187253438.0,177536454.0,258424166.0,241179116.0,100805797.0
Colorado State University,110023566.0,111805780.0,109764046.0,105005782.0,140019260.0,111099676.0,119561778.0,170723922.0,124693758.0,132335552.0,64804585.0
University of Oklahoma,,,,,,,,,,,
University of Virginia,,,,,,,,,,,
University of Tennessee,,,,,,,,,,,
"University of California, Davis",868634000.0,882040000.0,920904000.0,1053862000.0,1142116000.0,1349602000.0,1390068000.0,1435208000.0,1446138000.0,1535590000.0,775014000.0
University of Missouri,,,,,,,,,,,
Texas A&M University,1263170334.0,1376083234.0,1349709772.0,1392795632.0,1846344956.0,1706575754.0,1423248660.0,1616679194.0,1729390210.0,1901738046.0,861684340.0
California Polytechnic State University,,,,,,,,,,,
Columbia University,,,,,,,,,,,
"California State University, Northridge",721013670.0,773967658.0,886322136.0,823214276.0,812151444.0,892486388.0,885487926.0,952643384.0,1090040110.0,1106330248.0,570523923.0
Ohio State University,1227476346.0,1015411152.0,1224877662.0,1205511534.0,1354894252.0,1537359866.0,1500991620.0,1502840508.0,1303831356.0,1265103648.0,610040146.0
University of Texas at Austin,2788992588.0,3512183476.0,2945995954.0,3300366840.0,3408942028.0,3805801660.0,4082619888.0,4446578774.0,4792453638.0,5054325502.0,3317634788.0
University of Alabama,1825096252.0,1939030116.0,2167810490.0,2051583612.0,2134420208.0,2141307100.0,2297593546.0,2502561560.0,2708770908.0,2705498762.0,1373123561.0
Arizona State University,271538000.0,265032000.0,261484000.0,257260000.0,234258000.0,249734000.0,242240000.0,232014000.0,220468000.0,243618000.0,105882000.0
University of Pittsburgh,,,,,,,,,,,
"University of California, Irvine",801712000.0,864234000.0,893980000.0,966510000.0,1046652000.0,1180856000.0,1263082000.0,1220640000.0,1169780000.0,1272732000.0,623028000.0
University of Montana,334657582.0,303865116.0,289353096.0,268188580.0,270937560.0,301867718.0,316690060.0,474604668.0,461559568.0,462112550.0,287728379.0
